This is a development document only and has no instructional or debugging value.


Need to update install instructions to include new ffmpeg build instructions




The following input formats are supported for audio operations.

3dostr          3DO STR
dv              DV (Digital Video)
dvd             MPEG-2 PS (DVD VOB)
eac3            raw E-AC-3
evc             raw EVC video
f32be           PCM 32-bit floating-point big-endian
f32le           PCM 32-bit floating-point little-endian
f4v             F4V Adobe Flash Video
f64be           PCM 64-bit floating-point big-endian
f64le           PCM 64-bit floating-point little-endian
fbdev           Linux framebuffer
ffmetadata      FFmpeg metadata in text
fifo            FIFO queue pseudo-muxer
fifo_test       Fifo test muxer
film_cpk        Sega FILM / CPK
filmstrip       Adobe Filmstrip
fits            Flexible Image Transport System
flac            raw FLAC
flv             FLV (Flash Video)
framecrc        framecrc testing
framehash       Per-frame hash testing
framemd5        Per-frame MD5 testing
g722            raw G.722
g723_1          raw G.723.1
g726            raw big-endian G.726 ("left-justified")
g726le          raw little-endian G.726 ("right-justified")
gif             CompuServe Graphics Interchange Format (GIF)
gsm             raw GSM
gxf             GXF (General eXchange Format)
h261            raw H.261
h263            raw H.263
h264            raw H.264 video
hash            Hash testing
hds             HDS Muxer
hevc            raw HEVC video
hls             Apple HTTP Live Streaming
ico             Microsoft Windows ICO
ilbc            iLBC storage
image2          image2 sequence
image2pipe      piped image2 sequence
ipod            iPod H.264 MP4 (MPEG-4 Part 14)
ircam           Berkeley/IRCAM/CARL Sound Format
ismv            ISMV/ISMA (Smooth Streaming)
ivf             On2 IVF
jacosub         JACOsub subtitle format
kvag            Simon & Schuster Interactive VAG
latm            LOAS/LATM
lrc             LRC lyrics
m4v             raw MPEG-4 video
matroska        Matroska
md5             MD5 testing
microdvd        MicroDVD subtitle format
mjpeg           raw MJPEG video
mkvtimestamp_v2 extract pts as timecode v2 format, as defined by mkvtoolnix
mlp             raw MLP
mmf             Yamaha SMAF
mov             QuickTime / MOV
mp2             MP2 (MPEG audio layer 2)
mp3             MP3 (MPEG audio layer 3)
mp4             MP4 (MPEG-4 Part 14)
mpeg            MPEG-1 Systems / MPEG program stream
mpeg1video      raw MPEG-1 video
mpeg2video      raw MPEG-2 video
mpegts          MPEG-TS (MPEG-2 Transport Stream)
mpjpeg          MIME multipart JPEG
mulaw           PCM mu-law
mxf             MXF (Material eXchange Format)
mxf_d10         MXF (Material eXchange Format) D-10 Mapping
mxf_opatom      MXF (Material eXchange Format) Operational Pattern Atom
null            raw null video
nut             NUT
obu             AV1 low overhead OBU
oga             Ogg Audio
ogg             Ogg
ogv             Ogg Video
oma             Sony OpenMG audio
opus            Ogg Opus
oss             OSS (Open Sound System) playback
psp             PSP MP4 (MPEG-4 Part 14)
rawvideo        raw video
rm              RealMedia
roq             raw id RoQ
rso             Lego Mindstorms RSO
rtp             RTP output
rtp_mpegts      RTP/mpegts output format
rtsp            RTSP output
s16be           PCM signed 16-bit big-endian
s16le           PCM signed 16-bit little-endian
s24be           PCM signed 24-bit big-endian
s24le           PCM signed 24-bit little-endian
s32be           PCM signed 32-bit big-endian
s32le           PCM signed 32-bit little-endian
s8              PCM signed 8-bit
sap             SAP output
sbc             raw SBC
scc             Scenarist Closed Captions
sdl,sdl2        SDL2 output device
segment         segment
smjpeg          Loki SDL MJPEG
smoothstreaming Smooth Streaming Muxer
sox             SoX (Sound eXchange) native
spdif           IEC 61937 (used on S/PDIF - IEC958)
spx             Ogg Speex
srt             SubRip subtitle
stream_segment,ssegment streaming segment muxer
streamhash      Per-stream hash testing
sup             raw HDMV Presentation Graphic Stream subtitles
svcd            MPEG-2 PS (SVCD)
swf             SWF (ShockWave Flash)
tee             Multiple muxer tee
truehd          raw TrueHD
tta             TTA (True Audio)
ttml            TTML subtitle
u16be           PCM unsigned 16-bit big-endian
u16le           PCM unsigned 16-bit little-endian
u24be           PCM unsigned 24-bit big-endian
u24le           PCM unsigned 24-bit little-endian
u32be           PCM unsigned 32-bit big-endian
u32le           PCM unsigned 32-bit little-endian
u8              PCM unsigned 8-bit
uncodedframecrc uncoded framecrc testing
vc1             raw VC-1 video
vc1test         VC-1 test bitstream
vcd             MPEG-1 Systems / MPEG program stream (VCD)
vidc            PCM Archimedes VIDC
video4linux2,v4l2 Video4Linux2 output device
vob             MPEG-2 PS (VOB)
voc             Creative Voice
vvc             raw H.266/VVC video
w64             Sony Wave64
wav             WAV / WAVE (Waveform Audio)
webm            WebM
webm_chunk      WebM Chunk Muxer
webm_dash_manifest WebM DASH Manifest
webp            WebP
webvtt          WebVTT subtitle
wsaud           Westwood Studios audio
wtv             Windows Television (WTV)
wv              raw WavPack
yuv4mpegpipe    YUV4MPEG pipe
